latitude,longitude,free_bikes,empty_slots,name
43.70942,-79.39139,7,10,Roehampton Ave / Mount Pleasant Rd
43.671389,-79.382919,11,3,Church St / Bloor St E
43.671561,-79.38117,10,13,200 Bloor St E
43.693256,-79.383238,1,13,Moore Park
43.65412449999999,-79.4636388,4,3,Bloor St W / Pacific Ave
43.680207,-79.339243,7,8,Danforth Ave / Dewhurst Blvd
43.6589882,-79.438715,3,5,Bloor St W / Brock Ave
43.6741219,-79.4352208,2,14,Davenport Rd / Dovercourt Rd - SMART
43.6469928,-79.3706665,16,1,1 Market St - SMART
43.683884,-79.36647,14,4,Brick Works
43.6477785,-79.3847928,2,21,University Ave / King St W - SMART
43.6856128,-79.31168269999999,11,7,Amroth Ave / Danforth Ave
43.681944,-79.390556,1,10,Summerhill Subway Station
43.6393107,-79.4408141,8,10,Beaty Ave / Queen St W
43.68306889999999,-79.279682,10,10,Blantyre Park
43.6626628,-79.3323698,13,2,Queen St E / Rushbrooke Ave
43.681114,-79.3373885,4,9,Donlands Subway Station
43.638925,-79.4168659,11,1,Lynn Williams St / East Liberty St - SMART
43.676216,-79.309395,11,3,Eastwood Rd / Woodbine Ave - SMART
43.656633,-79.379625,30,8,285 Victoria St
43.686962,-79.286864,14,2,Gerrard St E / Victoria Park Ave - SMART
43.718039,-79.371914,7,9,Kilgour Rd / Rumsey Rd
43.672152,-79.39018,8,5,Bay St / Scollard St
43.673019,-79.467994,1,16,Weston Rd / St Clair Ave W - SMART
43.72268,-79.37644,6,8,Sunnybrook Health Centre - L Wing
43.6504218,-79.4407647,13,13,Dundas St W / St Helen's Ave - SMART
43.68850459999999,-79.3940052,1,14,Yonge St / St Clair Ave
43.641705,-79.393295,7,20,Spadina Ave / Blue Jays Way
43.647663,-79.487583,5,18,Bloor St W / Riverside Dr
43.720998,-79.377456,5,6,Sunnybrook Health Centre - S Wing
43.652327224103,-79.3882538196087,1,17,Simcoe St / Michael Sweet Ave
43.6438602,-79.4227573,4,7,Queen St W / Dovercourt Rd
43.64920406876699,-79.49336334201408,3,24,King's Mill Park
43.6399714,-79.39940399999999,4,11,135 Queens Wharf Rd - SMART
43.68827060022711,-79.43937767081853,0,18,406 Oakwood Ave
