id,name,latitude,longitude,free_bikes,empty_slots,bike_availability,ll,n_pois,n_bar_restaurant,n_cafe,n_live,n_park
ce6e330ba7f61e0453dc1567eaa02745,25 York St – Union Station South,43.643667,-79.380414,10,1,90.91,"43.643667,-79.380414",50,33,5,5,5
049c76540151608ec55bfcd0e1748f41,161 Bleecker St (South of Wellesley),43.666233,-79.373327,6,11,35.29,"43.666233,-79.373327",50,32,5,2,9
55a100afdce605b59cf4acbefcdf3213,Spadina Ave / Fort York Blvd,43.640114,-79.393249,5,13,27.78,"43.640114,-79.393249",50,32,6,2,9
422a936ddcb551dd9f26ec313a450057,Augusta Ave / Denison Sq,43.653766,-79.4016759,10,5,66.67,"43.653766,-79.401676",50,40,6,0,1
e38ee1ccd4c3964a5c0d308d29403b88,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,7,8,46.67,"43.653889,-79.441389",44,27,7,2,6
fc5b892aa82601e2374e8c1772dde569,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,4,15,21.05,"43.650833,-79.443056",43,26,8,1,5
452241fc4e912119f006a20b4b0099cf,Ossington Ave / College St,43.6544915,-79.422634,1,8,11.11,"43.654492,-79.422634",49,35,6,2,6
eb20e0b8c7c8bf1fc4157a3b715e2837,High Park Subway Station,43.6543604,-79.4655296,0,11,0.0,"43.65436,-79.46553",38,20,3,1,10
baedec3042f7094d0564ef8a1295e5d8,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,0,19,0.0,"43.635932,-79.465083",16,1,0,0,13
e4481e45d22462b01aca9513d8f5674e,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,4,14,22.22,"43.634896,-79.467763",17,2,1,0,12
0cf5a51077c51159b5d6c8ed5b4c9db5,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,16,13,55.17,"43.6314,-79.4304",29,10,1,2,10
59ef2a57efd0caf7727dbb6451bb8808,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,2,16,11.11,"43.636731,-79.444966",40,25,4,1,6
fe00988a883c9469b82d17221ef1824b,Dundas St W / Roncesvalles Ave Green P -SMART,43.6534268,-79.4512787,4,8,33.33,"43.653427,-79.451279",50,34,7,1,6
f376aecd6bb0d97d5d1580e9537017dd,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,0,15,0.0,"43.711215,-79.39894",47,33,6,0,6
